"key","scientificName","species","family","genus","class","recordedBy","recordNumber","eventDate","year","month","day","catalogNumber","institutionCode","collectionCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elev"
"6184369394","Bidens sandvicensis subsp. confusa Nagata & Ganders","Bidens sandvicensis","Asteraceae","Bidens","Magnoliopsida","Wiliams, Adam; Brines, Emily","AMW947","2025-03-10",2025,3,10,"1418717","CAS","BOT-BC",22.040335,-159.654275,,502.421173095703
"6408939379","Pisonia sandwicensis Hillebr.","Pisonia sandwicensis","Nyctaginaceae","Pisonia","Magnoliopsida","Wood, K. R.; Perlman, Steve","18858","2022-01-06",2022,1,6,"1467648","CAS","BOT-BC",22.047838,-159.65279,,716.066833496094
"6408920794","Casuarina glauca Sieber","Casuarina glauca","Casuarinaceae","Casuarina","Magnoliopsida","Wolkis, Dustin; Alevizos, Christine; Gunn, Kanoe; Nelson, Scott","DMW1271","2021-04-06",2021,4,6,"1788932","CAS","BOT-BC",22.043816,-159.663061,,801.397705078125
"6366673614","Carex wahuensis C.A.Mey.","Carex wahuensis","Cyperaceae","Carex","Liliopsida","Wood, K. R.","18358","2020-01-21",2020,1,21,"1545115","CAS","BOT-BC",22.048449,-159.655836,,780.861572265625
"5207007360","Leptecophylla tameiameiae (Cham. & Schltdl.) C.M.Weiller","Leptecophylla tameiameiae","Ericaceae","Leptecophylla","Magnoliopsida","D. Wolkis & M. Clark","DMW1120","2019-07-05",2019,7,5,"US 3772934","US","US",22.0515,-159.66,,888.682983398438
"3971228353","Dianella sandwicensis Hook. & Arn.","Dianella sandwicensis","Asphodelaceae","Dianella","Liliopsida","Wolkis, Dustin; Wolkis, Canyon","DMW1155","2017-06-27",2017,6,27,"690639","CAS","BOT-BC",22.051685,-159.659765,,890.454223632812
"6184569632","Erigeron L.",,"Asteraceae","Erigeron","Magnoliopsida","D. Wolkis","DMW1154","2017-06-27",2017,6,27,"US 3777132","US","US",22.0517,-159.66,,890.366149902344
"6289106498","Wilkesia A.Gray",,"Asteraceae","Wilkesia","Magnoliopsida","Wolkis, Dustin; Wolkis, Canyon","DMW1152","2017-06-27",2017,6,27,"1653458","CAS","BOT-BC",22.051685,-159.659765,,890.454223632812
"5054347382","Gahnia aspera subsp. globosa (H.Mann) J.Kern","Gahnia aspera","Cyperaceae","Gahnia","Liliopsida","Wood, K. R.; Query, Mark","16411","2015-04-25",2015,4,25,"736380","CAS","BOT-BC",22.041734,-159.660902,,807.732666015625
"1852154471","Gahnia aspera subsp. globosa (H.Mann) J.Kern","Gahnia aspera","Cyperaceae","Gahnia","Liliopsida","K. R. Wood & R. Aguraiuja","16628","2015-09-27",2015,9,27,"US 3722270","US","US",22.0421,-159.662,,806.63134765625
"1929481891","Carex wahuensis subsp. wahuensis","Carex wahuensis","Cyperaceae","Carex","Liliopsida","K. R. Wood","15802","2014-01-23",2014,1,23,"02692070","NY","NY",22.05994,-159.660492,,790.27734375
"1931293674","Carex meyenii Nees","Carex meyenii","Cyperaceae","Carex","Liliopsida","K. R. Wood","15798","2014-01-23",2014,1,23,"02692065","NY","NY",22.059994,-159.660492,,790.27734375
"2235879129","Carex meyenii Nees","Carex meyenii","Cyperaceae","Carex","Liliopsida","K. R. Wood, M. Kirkpatrick & M. Query","15798","2014-01-23",2014,1,23,"US 3725081","US","US",22.06,-159.66,,778.461120605469
"2235919052","Myrsine lanaiensis Hillebr.","Myrsine lanaiensis","Primulaceae","Myrsine","Magnoliopsida","K. R. Wood, M. Kirkpatrick & M. Query","s.n.","2014-01-23",2014,1,23,"US 3725084","US","US",22.06,-159.66,,778.461120605469
"2235949956","Carex wahuensis subsp. wahuensis","Carex wahuensis","Cyperaceae","Carex","Liliopsida","K. R. Wood, M. Kirkpatrick & M. Query","15802","2014-01-23",2014,1,23,"US 3725080","US","US",22.06,-159.66,,778.461120605469
"2235962293","Scaevola gaudichaudii Hook. & Arn.","Scaevola gaudichaudii","Goodeniaceae","Scaevola","Magnoliopsida","K. R. Wood, M. Kirkpatrick & M. Query","15801","2014-01-23",2014,1,23,"US 3725079","US","US",22.06,-159.66,,778.461120605469
"6288972354","Melanthera Rohr",,"Asteraceae","Melanthera","Magnoliopsida","Wood, K. R.; Bierly, Teruko","15582","2013-07-22",2013,7,22,"1632628","CAS","BOT-BC",22.048231,-159.656036,,805.23095703125
"1318396541","Metrosideros polymorpha Gaudich.","Metrosideros polymorpha","Myrtaceae","Metrosideros","Magnoliopsida","N. Tangalin & K. Muscat","3163","2012-05-01",2012,5,1,"US 3690193","US","US",22.049,-159.657,,847.987182617188
"1317551029","Dianella sandwicensis Hook. & Arn.","Dianella sandwicensis","Asphodelaceae","Dianella","Liliopsida","K. R. Wood","14600","2011-04-17",2011,4,17,"US 3647810","US","US",22.04,-159.65,,543.746826171875
"1317601860","Doryopteris decora Brack.","Doryopteris decora","Pteridaceae","Doryopteris","Polypodiopsida","K. R. Wood","14601","2011-04-17",2011,4,17,"US 3647809","US","US",22.04,-159.65,,543.746826171875
"1318112356","Erodium cicutarium (L.) L'Hér.","Erodium cicutarium","Geraniaceae","Erodium","Magnoliopsida","K. R. Wood","14604","2011-04-17",2011,4,17,"US 3647807","US","US",22.04,-159.65,,543.746826171875
"1318834697","Selaginella laxa Spring","Selaginella laxa","Selaginellaceae","Selaginella","Lycopodiopsida","K. R. Wood","14602","2011-04-17",2011,4,17,"US 3647808","US","US",22.04,-159.65,,543.746826171875
"1320036829","Metrosideros polymorpha Gaudich.","Metrosideros polymorpha","Myrtaceae","Metrosideros","Magnoliopsida","K. R. Wood","14599","2011-04-17",2011,4,17,"US 3647806","US","US",22.04,-159.65,,543.746826171875
"1320096757","Daucus pusillus Michx.","Daucus pusillus","Apiaceae","Daucus","Magnoliopsida","K. R. Wood & M. Query","14626","2011-04-23",2011,4,23,"US 3648234","US","US",22.04,-159.65,,543.746826171875
"1321144086","Wollastonia fauriei (H.Lév.) Orchard","Lipochaeta fauriei","Asteraceae","Lipochaeta","Magnoliopsida","K. R. Wood","14606","2011-04-17",2011,4,17,"US 3639800","US","US",22.04,-159.65,,543.746826171875
"1321450807","Lachnagrostis filiformis (G.Forst.) Trin.","Lachnagrostis filiformis","Poaceae","Lachnagrostis","Liliopsida","K. R. Wood","14605","2011-04-17",2011,4,17,"US 3647801","US","US",22.04,-159.65,,543.746826171875
"1929132654","Metrosideros polymorpha Gaudich.","Metrosideros polymorpha","Myrtaceae","Metrosideros","Magnoliopsida","K. R. Wood","14599","2011-04-17",2011,4,17,"03180999","NY","NY",22.04,-159.649994,,543.746826171875
"1930101391","Dianella sandwicensis Hook. & Arn.","Dianella sandwicensis","Asphodelaceae","Dianella","Liliopsida","K. R. Wood","14600","2011-04-17",2011,4,17,"03180998","NY","NY",22.04,-159.649994,,543.746826171875
"1930896257","Melanthera fauriei (H.Lév.) W.L.Wagner & H.Rob.","Lipochaeta fauriei","Asteraceae","Lipochaeta","Magnoliopsida","K. R. Wood","14606","2011-04-17",2011,4,17,"03181011","NY","NY",22.04,-159.649994,,543.746826171875
"1931010253","Scaevola gaudichaudii Hook. & Arn.","Scaevola gaudichaudii","Goodeniaceae","Scaevola","Magnoliopsida","K. R. Wood","14627","2011-04-23",2011,4,23,"03514043","NY","NY",22.04,-159.649994,,543.746826171875
"1320249517","Sida cordifolia L.","Sida cordifolia","Malvaceae","Sida","Magnoliopsida","T. W. Flynn, G. Kawakami & S. Chun","7495","2011-11-02",2011,11,2,"US 3647522","US","US",22.0622,-159.665,,928.523071289062
"35461235","Bidens cosmoides (A.Gray) Sherff","Bidens cosmoides","Asteraceae","Bidens","Magnoliopsida","Landgraf, L.","Collector Number: s.n.","1986-02-15",1986,2,15,"667294","BPBM","BISH",22.0667,-159.65,,522.964416503906
"5956380689","Bidens cosmoides (A.Gray) Sherff","Bidens cosmoides","Asteraceae","Bidens","Magnoliopsida","Landgraf, L.","s.n.","1986-02-15",1986,2,15,"667294","BISH",,22.066667,-159.65,,514.112609863281
"37268415","Ilex cornuta Lindl. & Paxton","Ilex cornuta","Aquifoliaceae","Ilex","Magnoliopsida","Flynn, T. Hume, L.; Wood, K.","Collector Number: 2040","1986-12-30",1986,12,30,"603627","BPBM","BISH",22.0667,-159.667,,961.348205566406
"5956185971","Ilex cornuta Lindl. & Paxton","Ilex cornuta","Aquifoliaceae","Ilex","Magnoliopsida","Flynn, T.W.; Hume, L.; Wood, K.","2040","1986-12-30",1986,12,30,"603627","BISH",,22.066667,-159.666667,,973.913940429688
"3754856309","Acacia mearnsii De Wild.","Acacia mearnsii","Fabaceae","Acacia","Magnoliopsida","Leila M. Shultz; John S. Shultz","6448","1983-01-05",1983,1,5,"UTC00282141","USU","UTC",22.051944,-159.659444,,887.402709960938
"38710313","Solanum sandwicense Hook. & Arn.","Solanum sandwicense","Solanaceae","Solanum","Magnoliopsida","Corn, C.","Collector Number: s.n.","1982-08-29",1982,8,29,"770670","BPBM","BISH",22.0667,-159.667,,961.348205566406
"36763830","Eragrostis variabilis (Gaudich.) Steud.","Eragrostis variabilis","Poaceae","Eragrostis","Liliopsida","Corn, C.","Collector Number: s.n.","1977-07-18",1977,7,18,"667090","BPBM","BISH",22.0667,-159.667,,961.348205566406
"36869433","Foeniculum vulgare Mill.","Foeniculum vulgare","Apiaceae","Foeniculum","Magnoliopsida","Corn, C.","Collector Number: s.n.","1977-07-18",1977,7,18,"770704","BPBM","BISH",22.0667,-159.667,,961.348205566406
"37958118","Melicope haupuensis (H.St.John) T.G.Hartley & B.C.Stone","Melicope haupuensis","Rutaceae","Melicope","Magnoliopsida","Corn, C.","Collector Number: s.n.","1977-07-19",1977,7,19,"770585","BPBM","BISH",22.0667,-159.667,,961.348205566406
"5956227338","Foeniculum vulgare Mill.","Foeniculum vulgare","Apiaceae","Foeniculum","Magnoliopsida","Corn, C.","s.n.","1977-07-18",1977,7,18,"770704","BISH",,22.066667,-159.666667,,973.913940429688
"2430838907","Dodonaea viscosa (L.) Jacq.","Dodonaea viscosa","Sapindaceae","Dodonaea","Magnoliopsida","DeBuhr, L.","2501","1976-12-20",1976,12,20,"HO86187","HO","HO",22.05,-159.666667,10000,826.449401855469
"2431067843","Leptecophylla C.M.Weiller",,"Ericaceae","Leptecophylla","Magnoliopsida","DeBuhr, L.","2466","1976-12-18",1976,12,18,"HO86135","HO","HO",22.066667,-159.65,10000,514.112609863281
"2430224906","Wikstroemia Endl.",,"Thymelaeaceae","Wikstroemia","Magnoliopsida","William L. Stern; Richard Catron","3085","1974-03-23",1974,3,23,"RSA0088097","RSA","RSA",22.051297,-159.656903,500,837.58056640625
"2430306012","Viola chamissoniana subsp. tracheliifolia (Ging.) W.L.Wagner, D.R.Herbst & Sohmer","Viola tracheliifolia","Violaceae","Viola","Magnoliopsida","William L. Stern; Richard Catron","3086","1974-03-24",1974,3,24,"RSA0088237","RSA","RSA",22.051297,-159.656903,500,837.58056640625
"2430512590","Wilkesia gymnoxiphium A.Gray","Wilkesia gymnoxiphium","Asteraceae","Wilkesia","Magnoliopsida","William L. Stern; Richard Catron","3084","1974-03-23",1974,3,23,"RSA0088099","RSA","RSA",22.051297,-159.656903,500,837.58056640625
"3988028393","Viola tracheliifolia Ging.","Viola tracheliifolia","Violaceae","Viola","Magnoliopsida","Sherwin Carlquist","1984","1966-07-12",1966,7,12,"RSA0475629","RSA","VascularPlants",22.051384,-159.655228,400,770.676086425781
"4925659868","Viola tracheliifolia Ging.","Viola tracheliifolia","Violaceae","Viola","Magnoliopsida","Sherwin Carlquist","1984","1966-07-12",1966,7,12,"RSAw000697","RSA","Wood",22.051384,-159.655228,400,770.676086425781
