"taxon","family","life","status","iucn","last","role"
"Charpentiera obovata","Amaranthaceae","tree","endemic","VU",1966,"observe"
"Alyxia stellata","Apocynaceae","shrub","indigenous","NE",1930,"collect"
"Gomphocarpus physocarpus","Apocynaceae","shrub","—","NE",1980,"present"
"Cheirodendron trigynum","Araliaceae","tree","endemic","VU",1998,"observe"
"Dianella sandwicensis","Asphodelaceae","herb","indigenous","NE",1980,"collect"
"Asplenium adiantum-nigrum","Aspleniaceae","fern","indigenous","NE",1971,"collect"
"Asplenium contiguum","Aspleniaceae","fern","indigenous","NE",1971,"collect"
"Asplenium furcatum","Aspleniaceae","fern","uncertain","NE",1922,"present"
"Asplenium macraei","Aspleniaceae","fern","endemic","NE",1930,"collect"
"Achillea millefolium","Asteraceae","herb","alien","LC",1929,"collect"
"Ageratina riparia","Asteraceae","shrub","alien","NE",1980,"present"
"Hypochaeris radicata","Asteraceae","herb","alien","NE",2001,"collect"
"Diplazium sandwichianum","Athyriaceae","fern","endemic","NE",2008,"collect"
"Sadleria pallida","Blechnaceae","fern","—","NE",1929,"present"
"Cynoglossum amabile","Boraginaceae","herb","alien","NE",1980,"present"
"Cibotium glaucum","Cibotiaceae","fern","endemic","NE",1971,"collect"
"Ipomoea indica","Convolvulaceae","herb","indigenous","NE",2009,"collect"
"Bulbostylis capillaris","Cyperaceae","graminoid","alien","LC",2001,"collect"
"Cyperus brevifolius","Cyperaceae","graminoid","alien","LC",1980,"present"
"Cyperus hillebrandii","Cyperaceae","graminoid","endemic","NE",1938,"collect"
"Microlepia setosa","Dennstaedtiaceae","fern","—","NE",1929,"present"
"Microlepia speluncae","Dennstaedtiaceae","fern","indigenous","NE",1989,"present"
"Microlepia strigosa","Dennstaedtiaceae","fern","indigenous","NE",2008,"present"
"Pteridium aquilinum","Dennstaedtiaceae","fern","indigenous","NE",2001,"present"
"Perrottetia sandwicensis","Dipentodontaceae","tree","endemic","LC",1948,"collect"
"Cyrtomium caryotideum","Dryopteridaceae","fern","indigenous","NE",1971,"collect"
"Dryopteris fuscoatra","Dryopteridaceae","fern","endemic","NE",2008,"collect"
"Dryopteris glabra","Dryopteridaceae","fern","endemic","NE",2008,"collect"
"Dryopteris hawaiiensis","Dryopteridaceae","fern","endemic","NE",1971,"collect"
