"species","n_records","first_year","last_year","n_collectors","findable","status","wagner","years_since_last","singleton","collector_dependent","dated","iucn","sensitive","bucket","family","lifeform","locate"
"Acacia koa",4,1984,1986,2,TRUE,"endemic","E",40,FALSE,FALSE,TRUE,"LC",FALSE,"high-value","Fabaceae","tree","approx"
"Achillea millefolium",1,1929,1929,1,TRUE,"alien","Nat",97,TRUE,TRUE,TRUE,"LC",FALSE,"easy-win","Asteraceae","herb","approx"
"Ageratina riparia",2,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"NE",FALSE,"other","Asteraceae","shrub","nominal"
"Aira elegans",1,2001,2001,1,TRUE,,,25,TRUE,TRUE,TRUE,"NE",FALSE,"other","Poaceae","graminoid","GPS"
"Alphitonia ponderosa",2,1989,1989,1,TRUE,"endemic","E",37,FALSE,TRUE,TRUE,"VU",TRUE,"protected-caution","Rhamnaceae","tree","approx"
"Alyxia stellata",1,1930,1930,1,TRUE,"indigenous","I",96,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Apocynaceae","shrub","approx"
"Anthoxanthum odoratum",1,2001,2001,1,TRUE,"alien","Nat",25,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Poaceae","graminoid","GPS"
"Asplenium adiantum-nigrum",4,1927,1971,4,TRUE,"indigenous","I",55,FALSE,FALSE,TRUE,"NE",FALSE,"high-value","Aspleniaceae","fern","approx"
"Asplenium contiguum",1,1971,1971,1,TRUE,"indigenous","I",55,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Aspleniaceae","fern","approx"
"Asplenium furcatum",1,1922,1922,1,TRUE,"uncertain","?",104,TRUE,TRUE,TRUE,"NE",FALSE,"other","Aspleniaceae","fern","approx"
"Asplenium macraei",1,1930,1930,1,TRUE,"endemic","E",96,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Aspleniaceae","fern","approx"
"Bulbostylis capillaris",1,2001,2001,1,TRUE,"alien","Nat",25,TRUE,TRUE,TRUE,"LC",FALSE,"easy-win","Cyperaceae","graminoid","GPS"
"Centaurium erythraea",2,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"LC",FALSE,"other","Gentianaceae","herb","nominal"
"Ceodes brunoniana",2,1948,1975,2,TRUE,,,51,FALSE,FALSE,TRUE,"LC",FALSE,"other","Nyctaginaceae","tree","approx"
"Ceodes umbellifera",1,1966,1966,1,TRUE,,,60,TRUE,TRUE,TRUE,"LC",FALSE,"other","Nyctaginaceae","tree","approx"
"Charpentiera obovata",1,1966,1966,1,TRUE,"endemic","E",60,TRUE,TRUE,TRUE,"VU",TRUE,"protected-caution","Amaranthaceae","tree","approx"
"Cheirodendron trigynum",1,1998,1998,1,TRUE,"endemic","E",28,TRUE,TRUE,TRUE,"VU",TRUE,"protected-caution","Araliaceae","tree","GPS"
"Cibotium glaucum",1,1971,1971,1,TRUE,"endemic","E",55,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Cibotiaceae","fern","approx"
"Coprosma menziesii",1,1997,1997,1,TRUE,"endemic","E",29,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Rubiaceae","shrub","GPS"
"Coprosma ochracea",1,2009,2009,0,TRUE,"endemic","E",17,TRUE,TRUE,TRUE,"VU",TRUE,"protected-caution","Rubiaceae","shrub","GPS"
"Cynoglossum amabile",2,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"NE",FALSE,"other","Boraginaceae","herb","nominal"
"Cyperus brevifolius",2,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"LC",FALSE,"other","Cyperaceae","graminoid","nominal"
"Cyperus hillebrandii",1,1938,1938,1,TRUE,"endemic","E",88,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Cyperaceae","graminoid","approx"
"Cyrtomium caryotideum",3,1927,1971,3,TRUE,"indigenous","I",55,FALSE,FALSE,TRUE,"NE",FALSE,"high-value","Dryopteridaceae","fern","approx"
"Dactylis glomerata",2,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"NE",FALSE,"other","Poaceae","graminoid","nominal"
