name,type,lat,lon,region,mentions,first,last,years active,variants
Cold Bay,bay,55.19,-162.72,Izembek/Cold Bay,420,1948,1974,1948-1956;1958-1971;1974,Across Cold Bay; At Cold Bay; Courtesy Cold Bay; In Cold Bay
Izembek,area,55.3,-163,Izembek/Cold Bay,272,1948,1974,1948-1956;1958-1971;1974,Izembek National Wildlife Refuge
Izembek Bay,bay,55.28,-162.95,Izembek/Cold Bay,238,1948,1970,1948-1956;1958-1967;1970,Icybeik Bay; In Izembek Bay; In Izerbek Bay; Inseboic Bay; Inseebek Bay; Iseabek Bay; Iseebek Bay; Isemeek Bay; Isemek Bay; Isemsk Bay; Isemsuk Bay; Isenbok Bay; Isenbuk Bay; Isombek Bay; Issebok Bay; Issenek Bay; Issobok Bay; Izenbek Bay; Izerbek Bay; Since Izembek Bay; When Izembek Bay
Aleutian Islands,island,52,-174,Aleutian Islands (Central),127,1949,1974,1949-1956;1959-1971;1974,Aleutian Island
Alaska Peninsula,peninsula,56.5,-162,Alaska Peninsula,124,1948,1974,1948-1956;1958-1971;1974,
Frosty Peak,mountain,55.07,-162.82,Izembek/Cold Bay,84,1948,1971,1948-1956;1958-1965; 1967;1970-1971,Frosty Mountain
Bering Sea,sea,58,-175,Bering Sea,64,1948,1974,1948-1953;1955-1956;1960-1968;1970-1971;1974,
Amchitka Island,island,51.35,179.1,Aleutian Islands (Central),54,1949,1971,1949-1952;1955-1956;1959-1971,Anchatka Island; Anchitka Island; Anchitna Island; Architka Island; At Amchitka Island; On Amchitka Island
Moffet Bay,bay,55.3,-163.5,Izembek/Cold Bay,54,1948,1970,1948-1955;1958-1961; 1963;1965;1968;1970,Moffat Bay; Moffett Bay; Moffit Bay
Unimak Island,island,54.7,-163.8,Aleutian Islands (Eastern),44,1949,1971,1949;1952-1953;1955;1958-1959;1961-1971,
Adak Island,island,51.88,-176.64,Aleutian Islands (Central),42,1950,1971,1950;1952;1954-1956;1958-1960;1962-1963;1966;1968-1969;1971,
Morzhovoi Bay,bay,55.05,-163.35,Izembek/Cold Bay,41,1948,1967,1948-1950;1952;1955;1961-1967,Marshovoi Bay; Morshovod Bay; Morshovoi Bay
Izembek Lagoon,lagoon,55.25,-163.05,Izembek/Cold Bay,35,1964,1974,1964-1971;1974,In Izembek Lagoon
Finger Bay,bay,55.3,-162.8,Izembek/Cold Bay,30,1952,1962,1952;1958-1960;1962,
Rat Island,island,51.82,178.28,Aleutian Islands (Central),29,1949,1967,1949;1960-1964;1967,On Rat Island
Russell Creek,stream,55.19,-162.71,Izembek/Cold Bay,28,1949,1971,1949-1952;1955-1956; 1958;1960-1963;1970-1971,
Unalak Island,island,53.7,-166.8,Aleutian Islands (Near),28,1951,1974,1951-1956;1959-1961;1963-1968;1974,Unalik Island
Unalaska Island,island,53.88,-166.53,Aleutian Islands (Eastern),27,1948,1974,1948;1952;1954-1956; 1958;1960-1961; 1963;1967-1971;1974,
Buldir Island,island,52.35,175.93,Aleutian Islands (Central),26,1949,1971,1949;1959;1961-1967;1971,At Buldir Island; Baldur Island
Caton Island,island,52.41,179.75,Aleutian Islands (Central),25,1950,1974,1950-1953;1955-1956;1958-1964;1966-1970;1974,Catons Island; Gaton Island
Clam Lagoon,lagoon,,,Adak Island,24,1952,1968,1952;1956;1958-1965;1968,Clan Lagoon; Clem Lagoon; Glam Lagoon; Glen Lagoon
Frosty Creek,stream,55.42,-163.25,Izembek/Cold Bay,22,1949,1971,1949-1956; 1958; 1960; 1967;1971,
Grant Point,point,55.32,-162.8,Izembek/Cold Bay,22,1964,1974,1964-1968;1970-1971;1974,
Pavlof Bay,bay,55.47,-161.7,Alaska Peninsula,22,1949,1964,1949;1951-1953; 1955; 1958;1961;1964,Pavlov Bay
Shumagin Islands,island,55.05,-159.6,Shumagin Islands,21,1948,1970,1948-1950; 1953; 1956; 1958;1960-1961;1968;1970,Shumagin Island
Kinzarof Lagoon,lagoon,55.14,-162.62,Izembek/Cold Bay,18,1948,1971,1948-1950; 1958; 1961; 1968;1970-1971,Kamsarof Lagoon; Kincaid Lagoon; Kinzaroff Lagoon
Round Island,island,55.5,-161.65,Aleutian Islands (Near),18,1954,1971,1954;1956;1963-1967;1970-1971,
Agattu Island,island,52.37,173.6,Aleutian Islands (Western),17,1960,1970,1960;1964-1968;1970,
Atka Island,island,52.19,-174.18,Aleutian Islands (Central),17,1950,1971,1950;1953;1955;1961-1963;1965-1967;1971,
Nelson Lagoon,lagoon,56,-161,Alaska Peninsula,17,1953,1971,1953;1958-1959;1963-1965;1971,In Nelson Lagoon
