year,month,day,date,date_start,date_end,location,count,count_type,method,age_class,pct_juvenile,sample_size,activity,direction,banding_new,banding_recapture,band_recoveries,source_page,ocr_confidence,notes
1950,8,26,1950-08-26,,,Izembek Bay,,observation,visual_estimate,mixed,,,arriving,arriving,,,,42,high,First arrival date: 'The Brant arrived 26 August and thereafter. This migration descended upon Izembek Bay in a mass.'
1950,,,,1950-08-26,1950-10-14,Izembek Bay,,estimate,visual_estimate,mixed,,,staging,,,,,43,high,First migration wave. '30 mile long water area in Izembek and Moffet Bay' blanketed with birds. No specific count given.
1950,10,14,1950-10-14,,,Izembek Bay,,observation,visual_estimate,mixed,,,migrating,departing,,,,43,medium,Major departure observed. 'The Brant lifted from the Bay and departed on a southerly course. The mass of birds was dense enough to appear upon the radar at Cold Bay.'
1950,10,15,1950-10-15,,,Izembek Bay,27500,estimate,visual_estimate,mixed,,,staging,,,,,43,medium,Residual after first departure: 'found only scattered Brant (perhaps 25 or 30 thousand)'. Midpoint of 25000-30000 range used.
1950,10,14,1950-10-14,,,Izembek Bay,,observation,visual_estimate,mixed,,,arriving,arriving,,,,43,medium,Second migration wave: 'On the fourteenth of October we noted a large increase in Brant concentrations. This second group was not as great as the former.'
1950,10,1,1950-10-01,,,Applegate Cove,,observation,visual_estimate,mixed,,,staging,,,,,43,high,Pre-departure staging: 'The first departure was preceded by a massive concentration in and near Applegate Cove (the eastern portion of Izembek Bay) on the 1st of October.'
1950,11,20,1950-11-20,,,Izembek Bay,,estimate,visual_estimate,mixed,,,migrating,departing,,,,43,low,Second wave departure: text reads '750 were gone by the 20th of November' - likely means 75% (percent sign unclear in typewriter text). Alternatively could be a count of 750 remaining.
1950,12,12,1950-12-12,,,Izembek Bay,0,observation,visual_estimate,mixed,,,migrating,departing,,,,43,low,All brant departed: 'by the 12th all were gone.' Month uncertain - context suggests late Nov or Dec. Date assigned to Dec 12 but may be Nov 12.
1950,11,9,1950-11-09,,,Cold Bay,4,census,visual_estimate,mixed,,,feeding,,,,,43,medium,"Unusual sighting: 'We noted four flocks in Cold Bay and Kinzarof Lagoon on the ninth of November.' Count is number of flocks, not individuals."
1950,,,,,,Cold Bay,1,sample,ground,mixed,,,,,,,,44,high,Weight measurement: 'One bird was recorded at 4 pounds 13 ounces. This was the largest we saw.' Plumage records planned for 1951.
