year,month,day,date,temp_max_f,temp_min_f,precip_type,precip_total_in,snow_on_ground_in,source_page,ocr_confidence,notes
1950,1,1,1950-01-01,38,32,Drizzle,0.2,0,10,medium,Max/Min values partially obscured by scan edge
1950,1,2,1950-01-02,46.5,34.9,Rain & Drizzle,0.001,0,10,high,
1950,1,3,1950-01-03,46,34.7,Rain & Drizzle,0.13,0,10,high,
1950,1,4,1950-01-04,44,30,Drizzle,0.001,0,10,high,
1950,1,5,1950-01-05,36.1,30,,,0,10,high,Clear/no precip
1950,1,6,1950-01-06,42.1,26.2,,,0,10,high,Clear/no precip
1950,1,7,1950-01-07,40.1,27,Rain & Drizzle,0.23,0,10,high,
1950,1,8,1950-01-08,40.2,34,Rain & Drizzle,0.15,0,10,medium,Precip total could be .14 or .15
1950,1,9,1950-01-09,40.4,34,Rain,0.11,0,10,high,
1950,1,10,1950-01-10,40.1,37.9,Rain & Drizzle,0.08,0,10,high,
1950,1,11,1950-01-11,41.4,36.5,Rain & Drizzle,1.05,0,10,high,
1950,1,12,1950-01-12,37,32,Drizzle,0.04,0,10,medium,Min temp partially illegible; could be 32.8
1950,1,13,1950-01-13,40,35.6,Drizzle,0.001,0,10,medium,Max could be 46
1950,1,14,1950-01-14,40.4,37,,,0,10,high,
1950,1,15,1950-01-15,39.5,36.7,,,0,10,high,
1950,1,16,1950-01-16,37.4,28.1,,,0,10,medium,Min could be 28.1 or 28.4
1950,1,17,1950-01-17,34.8,25.1,,,0,10,high,
1950,1,18,1950-01-18,47.4,28.1,,,0,10,medium,Max unusually high for Jan; could be 37.4
1950,1,19,1950-01-19,36,32,Drizzle,0.001,0,10,medium,Values partially obscured
1950,1,20,1950-01-20,33.9,29,Drizzle,0.001,0,10,high,
1950,1,21,1950-01-21,37,28,,,0,10,medium,Values partially obscured near punch hole
1950,1,22,1950-01-22,37,26,,,0,10,medium,Min partially illegible
1950,1,23,1950-01-23,44.9,25.1,,,0,10,medium,
1950,1,24,1950-01-24,41.4,33,,,0,10,high,
1950,1,25,1950-01-25,36.2,30.1,,,0,10,medium,
1950,1,26,1950-01-26,36,20.1,,,0,10,medium,Min may be 26.1
1950,1,27,1950-01-27,36.2,20.1,,,0,10,medium,
1950,1,28,1950-01-28,30,19.4,Snow Showers,0.001,0,10,medium,Min partially illegible
1950,1,29,1950-01-29,33.4,21.9,Snow Showers,0.001,0,10,high,
1950,1,30,1950-01-30,25.7,19,,,0,10,medium,
1950,1,31,1950-01-31,31.9,29.9,Snow Showers,0.001,0,10,high,
1950,2,1,1950-02-01,36,30,Snow Showers,0.001,0,11,medium,
1950,2,2,1950-02-02,34.9,27,,,0,11,medium,Min partially illegible
1950,2,3,1950-02-03,38,34,Snow Showers,0.001,0,11,high,
1950,2,4,1950-02-04,38,33,Snow Showers,0.03,0,11,medium,Precip could be .03 or .08
1950,2,5,1950-02-05,39,34.4,Snow Showers,0.001,0,11,high,
1950,2,6,1950-02-06,41,33.7,,,0,11,high,
1950,2,7,1950-02-07,38,34,,,0,11,high,
1950,2,8,1950-02-08,40,33,Snow Showers,0.001,0,11,high,
1950,2,9,1950-02-09,40,34,Blowing Snow,0.001,0,11,high,
1950,2,10,1950-02-10,41,33,Snow & Blowing,0.001,0,11,high,
1950,2,11,1950-02-11,34,10,,,0.001,11,medium,Min very low; snow on ground=Trace
1950,2,12,1950-02-12,30.7,10,,,0.001,11,medium,
1950,2,13,1950-02-13,35,23,Snow,0.001,0.001,11,medium,
1950,2,14,1950-02-14,36,28,Snow Showers,0.001,0.001,11,high,
1950,2,15,1950-02-15,38,28,Rain,0.001,0.001,11,high,
1950,2,16,1950-02-16,39,30,Snow Showers,0.001,0.001,11,high,
1950,2,17,1950-02-17,40,37,Rain,0.001,0.001,11,high,
1950,2,18,1950-02-18,42,33,,,0,11,high,
1950,2,19,1950-02-19,39,29,Snow,0.001,0,11,medium,
1950,2,20,1950-02-20,36.7,23,Snow Showers,0.001,0,11,medium,
1950,2,21,1950-02-21,40,24.7,Water Showers,0.001,0,11,medium,Precip type unclear; may be 'Snow Showers'
1950,2,22,1950-02-22,39,35,Rain & Snow,0.001,0,11,high,
1950,2,23,1950-02-23,37.4,29,Rain,0.001,0,11,high,
1950,2,24,1950-02-24,42,33,,,0,11,high,
1950,2,25,1950-02-25,40,32,,,0,11,high,
1950,2,26,1950-02-26,42,32,,,0,11,high,
1950,2,27,1950-02-27,42,37,,,0,11,high,
1950,2,28,1950-02-28,40,36,Drizzle,0.001,0,11,high,
1950,3,1,1950-03-01,36,30,Snow Showers,0.001,0,11-12,high,
1950,3,2,1950-03-02,36,28,Snow Showers,0.001,0,11-12,high,
1950,3,3,1950-03-03,38,32,Blowing Snow,0.001,1,11-12,medium,Snow on ground=1
1950,3,4,1950-03-04,34,25,Rain & Snow,0.09,0,11-12,medium,Precip total uncertain; could be .09 or .03
1950,3,5,1950-03-05,37,31,Rain & Drizzle,0.001,8,11-12,medium,Snow on ground=8; large jump from previous day
1950,3,6,1950-03-06,38,33,Rain & Drizzle,0.001,0,11-12,medium,
1950,3,7,1950-03-07,36,32,Drizzle,0.001,0,11-12,high,Snow may have melted rapidly
1950,3,8,1950-03-08,39,35,Rain,0.3,0,11-12,medium,Precip total may be .20
1950,3,9,1950-03-09,37,34,Drizzle,0.02,0,11-12,high,
1950,3,10,1950-03-10,40,34,Rain Showers,0.001,0,11-12,high,
1950,3,11,1950-03-11,42,36,Drizzle,0.001,0,11-12,high,
1950,3,12,1950-03-12,40,33,Rain,0.001,0,11-12,high,
1950,3,13,1950-03-13,40,33,Snow Showers,0.001,0,11-12,high,
