year,month,precip_sleet_snow_in,precip_water_equiv_in,temp_max_f,temp_min_f,temp_avg_f,wind_max_mph,wind_avg_mph,source_page,ocr_confidence,notes
1968,1,6.8,2.77,42,7,28.3,59,18.6,5,high,
1968,2,10.3,1.29,43,-1,24.0,53,17.0,5,high,Min temp -1F; coldest month
1968,3,7.8,1.21,43,16,30.4,55,15.3,5,high,
1968,4,5.1,1.37,50,18,34.2,39,16.1,5,high,
1968,5,2.1,1.3,62,25,42.7,47,13.7,5,high,
1968,6,0,0.84,57,34,45.4,30,12.7,5,high,No snow; lowest wind max (30mph)
1968,7,0,0.99,72,42,52.9,33,15.6,5,high,Max temp 72F; annual record and warmest in 5-year comparison
1968,8,0,3.53,60,45,52.0,44,16.4,5,high,Wettest month (rain only)
1968,9,0.001,2.55,60,32,46.8,36,14.0,5,high,"Sleet/Snow=Trace, encoded as 0.001"
1968,10,15.6,8.02,51,18,38.9,46,13.3,5,high,Heaviest precip month (water equiv); heavy snow
1968,11,6.7,3.32,45,20,36.0,45,16.4,5,high,
1968,12,7.3,1.17,46,15,30.8,51,19.3,5,high,Highest avg wind (19.3mph)
