year,location,count,count_type,context,report,species_note
1949,Constantine Harbor - Amchitka,30,observation,About 30 animals regularly observed; 7 dead recovered Apr 6-12,1949b,
1949,Amchitka rocks offshore,132,observation,132 individuals counted asleep on rocks; many more swimming nearby,1949,
1949,Amchitka north (East Cape to Alcat Pt),526,aerial_survey,Aerial count; north side of Amchitka,1949b,
1949,Amchitka south (first flight),314,aerial_survey,Aerial count first flight; south side of Amchitka,1949b,
1949,Amchitka south (second flight + Bird Rocks),559,aerial_survey,Second flight along south side plus Bird Rocks,1949b,
1949,Rat Island (total),279,aerial_survey,Total aerial count: 60 north + 179 south,1949b,
1949,New House to Bird Rocks (2nd flight),109,aerial_survey,Alcat Pt to Bird Rocks; second flight,1949b,
1949,Amchitka mortality (epidemic),70,mortality,70 otter or parts recovered; disease epidemic eastern end of island,1949,
1951,Savik Island,355,survey_count,Regional sea otter census,1951,
1951,Kodiak Island,8,survey_count,Regional sea otter census,1951,
1951,Igloo Kodiak,6,survey_count,Regional sea otter census,1951,
1951,Cape Aytuk (Antakuk Bay),4,survey_count,Regional sea otter census,1951,
1951,Cape Kodiak,4,survey_count,Regional sea otter census,1951,
1951,Unalikak Island,6,survey_count,Regional sea otter census,1951,
1951,Rock near Unalikak Island,7,survey_count,Regional sea otter census,1951,
1951,Snack Rocks,65,survey_count,Regional sea otter census,1951,
1951,Sandman Rocks,97,survey_count,Regional sea otter census,1951,
1951,REGIONAL TOTAL,550,survey_count,Total from multi-site regional sea otter census (excludes Amchitka),1951,
1951,Emilik Island to Cape Kumlium,100,estimate,About 100 animals in one pod reported,1951,
1951,Kilnloch Bay - Amchitka,13,mortality,13 dead otter found at Kilnloch Bay pod,1951,
1952,Amchitka offshore rocks,111,observation,111 sea otter asleep on offshore rocks; no dead or sick on beach,1952,
1953,Shumagin Islands (Little Koniuji area),633,survey_count,Total of 633 otter recorded; largest numbers around Little Koniuji,1953,
1953,Unanga Bay to Cape Wajima,22,survey_count,Sparse otter population; area north of Unanga Bay,1953,
1953,Prince William Sound,321,survey_count,321 otter counted in the Sound (Robards correspondence),1953,
1953,Amchitka (historical ref to 1949),3420,historical,Cross-reference to 1949 survey showing 3;420 at Amchitka,1953,historical_1949
1954,Twelve Fathom Strait (Simeonof-Little Koniuji),200,estimate,About 200 sea otter observed from boats,1954,
1955,Cold Bay (Vodapoint Point),1,observation,Young sea otter feeding at eastern entrance to Cold Bay; Mar 13,1955,
1956,Tongue Island - Amchitka area,3500,estimate,Total population of about 3;500 deduced from surveys,1956-57,
1958,Sanak Islands,128,survey_count,Quick survey total including one substantial pod,1958a,
1958,Unimak north coast (Cape Mordvinof),30,survey_count,30 sea otters in cove at eastern end of Cape Mordvinof,1958a,
1958,Unimak Pass (near Sennat Point),75,estimate,Approximately 75 sea otters 1.5 mi south of Sennat Point,1958a,
1958,Krenitsin Islands,12,survey_count,12 sea otters noted under adverse wind conditions,1958a,
1959,Amchitka - off Eddy Island,400,observation,Single pod of about 400 male otters in large offshore kelp patch,1959a,
1960,Simeonof Island,26,aerial_survey,Aerial survey Nov 15; three observers,1960a,
1960,Little Koniuji Island,110,aerial_survey,Aerial survey Nov 15; three observers,1960a,
1960,Izembek Bay (Grant's Point),1,observation,Single sea otter near Grant's Point; Oct 13,1960a,
1961,Morzhovoi Bay,1,observation,One sea otter sighted near Morzhovoi Bay during flight,1961a,
1962,Amchitka (experimental harvest),NA,harvest,Experimental sea otter harvest at Amchitka; animals in excellent condition with extensive fat,1962a,count_unknown
1962,Buldir Island,4,observation,4 adult sea otters in kelp; 3 females with pup each,1962b,
1962,Thin Point - Izembek area,NA,qualitative,Large pod of sea otters near Thin Pt in mid-September; gone by October,1962c,
1962,Izembek and Morzhovoi Bays,9,observation,Nine otters sighted in October around Izembek and Morzhovoi Bays,1962c,
1962,Middle Lagoon (Morzhovoi Bay),3,observation,Three otters twice observed in Middle Lagoon,1962c,
1963,Izembek NWR area,13,census_form,Sea otter count from FWS wildlife census form,1963a,
1964,Izembek NWR area,23,census_form,Sea otter count from FWS wildlife census form,1964,
1965,Izembek NWR area,25,census_form,Sea otter count from FWS wildlife census form,1965,
1966,near Izembek,NA,qualitative,Ship EKATERINI grounded; fuel spill hazard to large number of sea otters in the area,1966,
1967,Izembek Bay,NA,qualitative,Sea otters now sufficiently common in Izembek Bay; encountered during brant surveys. Whole family groups usually seen.,1967,
1968,Izembek area (outer break),NA,qualitative,Growing population of sea otters along outermost edge of outer break,1968,
1968,Central Aleutians (ADF&G harvest),425,harvest,ADF&G fall harvest of 425 sea otters; 62% were females,1968,
1970,Aleutians/Alaska Peninsula,NA,qualitative,Sea otter trapping in Aleutians conducted by ADF&G; pelts sold at public auction,1970,
1971,Amchitka Island,NA,qualitative,Nov 6 Cannikin nuclear test (5 megaton). Greatest toll to wildlife sustained by sea otters. Perhaps several hundred killed.,1971,nuclear_test_mortality
1974,Bering Sea coast,NA,qualitative,Bering Sea froze solidly for 3rd time in 4 years; serious consequences to sea otter population,1974,freeze_mortality
